Age;Sexe;Nationalite;Quartier
62;F;P;GASPERICH
62;M;L;GRUND
62;M;L;BONNEVOIE-NORD/VERLORENKOST
62;F;I;BONNEVOIE-SUD
62;M;B;MERL
62;M;L;BONNEVOIE-SUD
62;M;P;BONNEVOIE-SUD
62;F;B;NEUDORF/WEIMERSHOF
62;M;F;BELAIR
62;F;MNE;BONNEVOIE-NORD/VERLORENKOST
62;F;L;BELAIR
62;F;B,USA;HAMM
62;F;L;BELAIR
62;F;L;VILLE-HAUTE
62;M;L;MERL
62;M;P;ROLLINGERGRUND/BELAIR-NORD
62;M;L;GARE
62;F;P;KIRCHBERG
62;F;P;EICH
62;F;B;LIMPERTSBERG
62;M;I;BELAIR
62;F;F;EICH
62;M;L;GASPERICH
62;F;L;MERL
62;F;E;LIMPERTSBERG
62;F;L;BONNEVOIE-SUD
62;M;P;PFAFFENTHAL
62;M;L;DOMMELDANGE
62;F;L;BELAIR
62;F;I;GARE
62;M;I;BELAIR
62;M;P;HOLLERICH
62;M;L;GASPERICH
62;M;A;NEUDORF/WEIMERSHOF
62;M;F;NEUDORF/WEIMERSHOF
62;M;L;KIRCHBERG
62;F;PHL;GARE
62;M;P;GASPERICH
62;F;L;BONNEVOIE-SUD
62;M;D;MERL
62;M;F;BONNEVOIE-SUD
62;M;B;KIRCHBERG
62;M;F;BELAIR
62;F;TJ;BONNEVOIE-SUD
62;M;SRB;CENTS
62;F;P;ROLLINGERGRUND/BELAIR-NORD
62;F;L;CENTS
62;F;P;LIMPERTSBERG
62;M;B;WEIMERSKIRCH
62;F;GB;LIMPERTSBERG
62;F;CH;LIMPERTSBERG
62;M;I;GARE
62;F;L,D;HOLLERICH
62;M;GB;NEUDORF/WEIMERSHOF
62;F;L;CESSANGE
62;M;L;BONNEVOIE-SUD
62;F;P;HAMM
62;F;L;WEIMERSKIRCH
62;F;L;BONNEVOIE-SUD
63;F;L;BONNEVOIE-SUD
63;F;L;BELAIR
63;F;L;LIMPERTSBERG
63;M;GB;BONNEVOIE-NORD/VERLORENKOST
63;M;I;GARE
63;F;L;BONNEVOIE-SUD
63;M;B;VILLE-HAUTE
63;F;L;BELAIR
63;M;P;ROLLINGERGRUND/BELAIR-NORD
63;F;TJ;GASPERICH
63;M;L;EICH
63;M;L;HOLLERICH
63;M;L;HOLLERICH
63;M;P;ROLLINGERGRUND/BELAIR-NORD
63;M;L;CENTS
63;F;L;BELAIR
63;F;L;BELAIR
63;M;L;LIMPERTSBERG
63;M;L;BEGGEN
63;M;L;DOMMELDANGE
63;F;L;BELAIR
63;F;P;GASPERICH
63;F;L;BEGGEN
63;M;I;BONNEVOIE-NORD/VERLORENKOST
63;M;L;NEUDORF/WEIMERSHOF
62;M;L;BONNEVOIE-SUD
62;F;B;BELAIR
62;F;L;PFAFFENTHAL
62;M;L;BONNEVOIE-SUD
62;F;F;VILLE-HAUTE
62;F;P;BONNEVOIE-SUD
62;F;EST;GARE
62;M;GB;GARE
62;F;L;PULVERMUEHL
62;M;L;DOMMELDANGE
62;F;USA;GRUND
62;M;GB;BONNEVOIE-SUD
62;F;P;BONNEVOIE-SUD
62;F;L;KIRCHBERG
62;M;P;DOMMELDANGE
62;M;P;CESSANGE
62;M;F;HOLLERICH
62;F;L;MERL
62;M;D;BONNEVOIE-SUD
62;M;MA;GASPERICH
62;F;I;GARE
62;M;P;BONNEVOIE-SUD
62;F;L;BELAIR
62;F;B;EICH
62;M;F;BONNEVOIE-SUD
62;M;GB;MERL
62;F;E;KIRCHBERG
62;M;P;BONNEVOIE-SUD
62;M;L;KIRCHBERG
62;F;L,F;VILLE-HAUTE
62;M;L;KIRCHBERG
62;F;FIN;BONNEVOIE-SUD
62;M;P;MERL
62;F;L;MUEHLENBACH
62;M;IRL;LIMPERTSBERG
62;M;L;HOLLERICH
62;F;N;BEGGEN
62;F;P;BONNEVOIE-SUD
62;M;L;BELAIR
62;F;BG;LIMPERTSBERG
62;F;L;DOMMELDANGE
62;M;L;CESSANGE
62;M;H;EICH
62;M;GB;BELAIR
62;M;P;HOLLERICH
62;M;P;GARE
62;M;I;VILLE-HAUTE
62;F;L;KIRCHBERG
62;M;F;WEIMERSKIRCH
62;F;GB;WEIMERSKIRCH
62;M;B;MERL
62;M;I;MERL
62;F;MA;GARE
62;F;TJ;EICH
62;M;L;ROLLINGERGRUND/BELAIR-NORD
62;F;F;LIMPERTSBERG
62;F;L;CENTS
62;M;P;BEGGEN
62;M;L;NEUDORF/WEIMERSHOF
62;F;XXK;BELAIR
62;F;GR;KIRCHBERG
62;F;I;ROLLINGERGRUND/BELAIR-NORD
62;M;P;CLAUSEN
62;M;L;NEUDORF/WEIMERSHOF
62;M;L;VILLE-HAUTE
62;M;L;GASPERICH
62;M;P;EICH
62;M;DK;NEUDORF/WEIMERSHOF
62;F;B;MERL
62;M;L;BONNEVOIE-SUD
62;M;DK;PFAFFENTHAL
62;M;I;ROLLINGERGRUND/BELAIR-NORD
62;M;L;BONNEVOIE-SUD
62;F;L;CENTS
62;F;HRV;BONNEVOIE-NORD/VERLORENKOST
62;F;NL;MERL
62;M;F;BONNEVOIE-SUD
62;F;D;GRUND
62;M;P;BONNEVOIE-SUD
62;M;F;NEUDORF/WEIMERSHOF
62;M;F;LIMPERTSBERG
