Age;Sexe;Nationalite;Quartier,,,
79;M;P;BONNEVOIE-SUD,,,
80;F;L;BONNEVOIE-SUD,,,
80;F;L,F;LIMPERTSBERG,,
79;M;L;HOLLERICH,,,
79;M;L;BONNEVOIE-SUD,,,
79;F;L;BONNEVOIE-NORD/VERLORENKOST,,,
78;M;F,MA;LIMPERTSBERG,,
79;M;L,B;HOLLERICH,,
79;F;I;GASPERICH,,,
79;M;L;CENTS,,,
79;F;L;GARE,,,
79;F;I;MERL,,,
79;F;L;BONNEVOIE-SUD,,,
79;F;L;NEUDORF/WEIMERSHOF,,,
79;F;L;CENTS,,,
79;F;L;LIMPERTSBERG,,,
78;F;L;HOLLERICH,,,
80;M;L;CENTS,,,
80;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
79;M;D;CENTS,,,
79;M;L;LIMPERTSBERG,,,
79;M;L;BEGGEN,,,
81;F;L;GARE,,,
81;F;L;LIMPERTSBERG,,,
81;F;L;BONNEVOIE-SUD,,,
81;F;L;KIRCHBERG,,,
81;F;I;BELAIR,,,
81;F;L;GASPERICH,,,
81;M;L;HOLLERICH,,,
81;F;L;BONNEVOIE-SUD,,,
80;F;L;BELAIR,,,
80;M;F;LIMPERTSBERG,,,
81;M;L;DOMMELDANGE,,,
80;F;L;BEGGEN,,,
80;M;L;CENTS,,,
81;F;L;HOLLERICH,,,
80;M;D;LIMPERTSBERG,,,
80;M;L;GASPERICH,,,
80;M;L;LIMPERTSBERG,,,
81;F;I;NEUDORF/WEIMERSHOF,,,
76;F;I;BELAIR,,,
78;F;L;VILLE-HAUTE,,,
78;M;F;BONNEVOIE-SUD,,,
76;M;P;MERL,,,
76;F;I;BONNEVOIE-SUD,,,
78;F;I;BONNEVOIE-SUD,,,
78;M;L;CESSANGE,,,
77;F;P;MUEHLENBACH,,,
78;F;L;GASPERICH,,,
76;F;L;CENTS,,,
76;M;D;BONNEVOIE-NORD/VERLORENKOST,,,
77;M;L;GASPERICH,,,
77;F;L;GARE,,,
77;F;L;BONNEVOIE-SUD,,,
78;M;L;CENTS,,,
78;F;D;MERL,,,
78;M;P;GARE,,,
78;F;L;LIMPERTSBERG,,,
77;M;L;LIMPERTSBERG,,,
77;M;L;CENTS,,,
77;F;L;BONNEVOIE-SUD,,,
77;F;I;GASPERICH,,,
77;F;L;BONNEVOIE-SUD,,,
77;F;L;KIRCHBERG,,,
78;F;L;HOLLERICH,,,
78;M;L;BEGGEN,,,
77;M;L;CENTS,,,
78;F;P;GASPERICH,,,
77;F;L;VILLE-HAUTE,,,
76;F;L;DOMMELDANGE,,,
76;M;L;BONNEVOIE-SUD,,,
77;M;L;CENTS,,,
77;M;L;ROLLINGERGRUND/BELAIR-NORD,,,
77;F;L;CESSANGE,,,
77;F;L;MERL,,,
77;F;L;BEGGEN,,,
77;F;L;BONNEVOIE-SUD,,,
76;F;L;CESSANGE,,,
77;M;D;ROLLINGERGRUND/BELAIR-NORD,,,
77;F;L;CENTS,,,
78;F;L;MERL,,,
78;M;L;LIMPERTSBERG,,,
76;F;L;VILLE-HAUTE,,,
76;F;L;BONNEVOIE-SUD,,,
77;F;L;CENTS,,,
78;M;L;LIMPERTSBERG,,,
78;M;L;DOMMELDANGE,,,
78;F;L;CENTS,,,
77;F;L;LIMPERTSBERG,,,
77;F;L;BONNEVOIE-NORD/VERLORENKOST,,,
76;M;L;BONNEVOIE-SUD,,,
76;F;L;LIMPERTSBERG,,,
76;M;L;LIMPERTSBERG,,,
76;F;L;BONNEVOIE-SUD,,,
77;M;I;MERL,,,
77;M;L;CENTS,,,
76;F;F;LIMPERTSBERG,,,
78;F;I;HOLLERICH,,,
78;F;I;BONNEVOIE-SUD,,,
78;M;B;CENTS,,,
76;M;L;KIRCHBERG,,,
76;M;P;LIMPERTSBERG,,,
78;F;L;CENTS,,,
78;F;L;GARE,,,
78;F;L;BELAIR,,,
76;M;P;GASPERICH,,,
76;F;L;LIMPERTSBERG,,,
76;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
76;F;I;HOLLERICH,,,
76;M;L;MUEHLENBACH,,,
76;F;L;PFAFFENTHAL,,,
76;M;L;BONNEVOIE-NORD/VERLORENKOST,,,
76;M;L,GB;WEIMERSKIRCH,,
77;F;P;HOLLERICH,,,
76;F;L;PFAFFENTHAL,,,
78;M;L;GASPERICH,,,
78;F;L;BONNEVOIE-SUD,,,
78;F;L;VILLE-HAUTE,,,
78;M;L;BEGGEN,,,
77;M;D;BEGGEN,,,
78;F;L;BONNEVOIE-SUD,,,
77;F;P;CENTS,,,
77;F;L;BONNEVOIE-SUD,,,
77;F;L;CENTS,,,
77;F;L;BELAIR,,,
78;F;L;BONNEVOIE-SUD,,,
78;M;L;PFAFFENTHAL,,,
78;F;L;LIMPERTSBERG,,,
78;M;L;HOLLERICH,,,
77;M;L;NEUDORF/WEIMERSHOF,,,
77;F;L;BONNEVOIE-SUD,,,
77;F;L;KIRCHBERG,,,
77;F;L;GASPERICH,,,
78;M;L;BELAIR,,,
78;F;L;GARE,,,
78;M;F;BELAIR,,,
78;F;L;CENTS,,,
77;M;L;BONNEVOIE-SUD,,,
76;F;L;LIMPERTSBERG,,,
76;M;L;CENTS,,,
78;F;P;GARE,,,
78;M;L;MERL,,,
78;F;L;BEGGEN,,,
78;M;D;BONNEVOIE-SUD,,,
78;M;L;BONNEVOIE-SUD,,,
78;M;L;BELAIR,,,
78;F;L;EICH,,,
77;M;P;PULVERMUEHL,,,
77;F;L;CESSANGE,,,
76;F;L;CENTS,,,
78;F;L;LIMPERTSBERG,,,
78;M;I;NEUDORF/WEIMERSHOF,,,
78;M;L;BONNEVOIE-SUD,,,
78;F;P;HAMM,,,
77;F;L,F;KIRCHBERG,,
77;F;L;LIMPERTSBERG,,,
77;F;L;VILLE-HAUTE,,,
76;F;L;BELAIR,,,
76;M;L;BONNEVOIE-SUD,,,
76;M;L;MERL,,,
76;F;L;EICH,,,
78;F;L;LIMPERTSBERG,,,
77;M;L;LIMPERTSBERG,,,
78;M;L,GB;BELAIR,,
76;M;P;BONNEVOIE-SUD,,,
76;M;L;GASPERICH,,,
77;F;L;GARE,,,
77;M;P;CENTS,,,
