number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
312,18.65426327162893,2023-09-16 02:01:54.938452,2023-09-16 02:02:44.161509,0 days 00:00:49.223057,0.6825886648317637,0.0785682950275948,5,407,0.11891438772849186,0.6625553028697937,0.6033779855134301,COMPLETE
313,18.119634774743535,2023-09-16 02:02:44.161509,2023-09-16 02:03:10.435107,0 days 00:00:26.273598,0.6124702583061494,0.041757086783527346,3,357,0.08020685515296541,0.7469487063586334,0.7118122299400618,COMPLETE
314,18.023032726339625,2023-09-16 02:03:10.435107,2023-09-16 02:03:41.661962,0 days 00:00:31.226855,0.6675067308369941,0.02049248738131191,3,390,0.14016912053852085,0.6874633939765161,0.5759899032262934,COMPLETE
315,19.052363188041735,2023-09-16 02:03:41.676476,2023-09-16 02:05:45.931476,0 days 00:02:04.255000,0.6625730164962941,0.017349441002422153,12,395,0.1329522219819377,0.6852875018277484,0.5657523699388097,COMPLETE
316,18.05589866589613,2023-09-16 02:05:45.931476,2023-09-16 02:06:17.489327,0 days 00:00:31.557851,0.7166531690365113,0.03452080438780837,3,379,0.05578149466428044,0.705640887930586,0.5746381681366253,COMPLETE
317,19.38763988813948,2023-09-16 02:06:17.489327,2023-09-16 02:06:55.751189,0 days 00:00:38.261862,0.7863763512524478,0.14572358902636173,3,430,0.01190042968139661,0.674660223126809,0.5414377630643825,COMPLETE
318,85.81393529386169,2023-09-16 02:06:55.751189,2023-09-16 02:07:28.714637,0 days 00:00:32.963448,0.6869602435463965,0.0004635150350439446,3,414,0.10458288125765725,0.7211079303764776,0.586540008879723,COMPLETE
319,22.120452312899555,2023-09-16 02:07:28.714637,2023-09-16 02:08:04.193776,0 days 00:00:35.479139,0.6630132655771259,0.35717798423504293,4,369,0.14490962243082417,0.6526683495269926,0.6653220727604523,COMPLETE
320,36.53703789657394,2023-09-16 02:08:04.209412,2023-09-16 02:09:24.473907,0 days 00:01:20.264495,0.7449715281325994,0.4798469707545416,11,392,0.6181736379710423,0.7583606004803443,0.20035944742514633,COMPLETE
321,18.38633917454615,2023-09-16 02:09:24.489532,2023-09-16 02:10:00.566244,0 days 00:00:36.076712,0.6395801314406461,0.05296635804452794,3,477,0.08311741265225253,0.14925935203304885,0.6324987248899967,COMPLETE
322,17.99899210788893,2023-09-16 02:10:00.566244,2023-09-16 02:10:41.743243,0 days 00:00:41.176999,0.6998684824238589,0.02120835591745235,3,508,0.03980268116534952,0.6978806959302835,0.5576161159334643,COMPLETE
323,18.28795585795039,2023-09-16 02:10:41.743243,2023-09-16 02:11:39.706465,0 days 00:00:57.963222,0.83644517573339,0.037465870277593044,4,504,0.11872136285927615,0.6935220567490288,0.5507818766525938,COMPLETE
