DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2006,0.6,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2007,0.5,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2008,0.8,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2009,0.5,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2010,0.599,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2011,0.7,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2012,0.778,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2013,0.74,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2014,0.74,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2015,0.62,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2016,0.501,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2017,0.5,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2018,0.67,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2019,0.61,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2020,0.391,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2021,0.649,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2022,1.33,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2000,0.8,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2001,0.88,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2002,0.89,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2003,0.8,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2004,0.78,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2005,0.83,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2006,0.82,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2007,0.93,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2008,0.97,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2009,0.97,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2010,0.98,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2011,0.97,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2012,1.02,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2013,1.06,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2014,1.06,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2015,1.05,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2016,0.96,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2017,0.886923076923077,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2018,0.93,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2019,1.23,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2020,1.57,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2021,1.19,,,,,,1: One
LU1:DF_E5300(1.0),A01: Wheat flour (1kg),A: Annual,2022,1.375,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2000,1.09,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2001,1.12,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2002,1.18,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2003,1.23,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2004,1.27,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2005,1.36,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2006,1.43,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2007,1.64,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2008,1.69,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2009,1.73,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2010,1.8,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2011,1.84,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2012,1.91,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2013,2.09,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2014,2.09,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2015,2.16,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2016,2.11,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2017,2.14315789473684,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2018,2.56,,,,,,1: One
LU1:DF_E5300(1.0),A02: Bread (500 g sliced),A: Annual,2019,2.36,,,,,,1: One
