listing_no,postcode,price_chf,description,canton,long_title,seller,price_with_utilities,object,category,rooms,space_sqm,characteristics,availability,last_change,listing_number,available_as_of
90,2503,1165,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wo man lebt und leben lässt. - Mieten ohne Kaution!,NA,1165,Wohnung,Wohnung,3,65,NA,NA,2023-05-02,48085874,NA
91,2503,1800,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr neues Zuhause - Mieten ohne Kaution,NA,1800,Wohnung,Wohnung,4.5,95,NA,NA,2023-05-02,48085852,NA
92,3110,1460,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Suchen..Staunen..Mieten!,NA,1460,Wohnung,Wohnung,3,61,NA,NA,2023-05-02,48085826,NA
93,3600,1150,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Willkommen zu Hause!,NA,1150,Wohnung,Wohnung,2.5,81,NA,NA,2023-05-02,48085796,NA
94,2504,1710,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Schöne Duplexwohnung mit grosser Dachterrasse,NA,1710,Wohnung,Wohnung,4.5,95,NA,NA,2023-05-02,48085785,NA
95,3550,3160,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Über den Dächern von Bern - luxuriöser Wohntraum!,NA,3160,Wohnung,Wohnung,3.5,123,NA,NA,2023-05-02,48085764,NA
96,3007,1720,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Helle 3.5 Zimmer-Wohnung in Spiez!,NA,1720,Wohnung,Wohnung,3.5,78,NA,NA,2023-05-02,48085763,NA
97,3700,1650,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Moderne Stadwohnung mit Sitzplatz,NA,1650,Wohnung,Wohnung,2.5,68,NA,NA,2023-05-02,48085750,NA
98,3007,1285,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr Wohnraumtraum - perfekt für Singles!,NA,1285,Wohnung,Wohnung,2.5,63,NA,NA,2023-05-02,48085707,NA
99,2542,2030,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,4½-Zimmer-Wohnung - Erstbezug beim Bahnhof!,NA,2030,Wohnung,Wohnung,4.5,107,NA,NA,2023-05-02,48085699,NA
100,4950,1970,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Eckwohnung im Steinhof-Quartier - Mieten ohne Kaution!,NA,1970,Wohnung,Wohnung,5.5,104,NA,NA,2023-05-02,48085670,NA
101,3400,1210,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ideal für Pendler!,NA,1210,Wohnung,Wohnung,3.5,68,NA,NA,2023-05-02,48085646,NA
102,3250,2030,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Exklusives Loft mitten im Zentrum!,NA,2030,Wohnung,Loft,2.5,133,NA,NA,2023-05-02,48085624,NA
103,4900,1430,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Mieten ohne Kaution!,NA,1430,Wohnung,Wohnung,2.5,69,NA,NA,2023-05-02,48085605,NA
104,3172,1240,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Top Dachwohnung mit Charme - 1 GRATIS Nettomietzins geschenk,NA,1240,Wohnung,Wohnung,2,64,NA,NA,2023-05-02,48085594,NA
105,3422,1800,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Hier fühlen Sie sich wohl - Willkommen im Sommerrain,NA,1800,Wohnung,Wohnung,3.5,76,NA,NA,2023-05-02,48085593,NA
106,3072,2338,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr Wohntraum!,NA,2338,Wohnung,Wohnung,4.5,100,NA,NA,2023-05-02,48085586,NA
