listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
16938,21600,NA,NA,2021,DUCATI,Diavel 1260,2450,Schaltgetriebe,Benzin,Schwarz,2022-03-03,42443851,yes,Hinterradantrieb
16939,12550,NA,NA,2022,BMW,F 900 R,10,Schaltgetriebe,Benzin,Schwarz,2022-07-09,42443844,yes,Hinterradantrieb
16940,11590,NA,NA,2022,MOTO GUZZI,V7 SPECIAL,10,Schaltgetriebe,Benzin,Blau,2022-05-18,42443815,yes,Hinterradantrieb
16941,20000,NA,NA,1999,MOTO GUZZI,DAYTONA RS,27157,Schaltgetriebe,Benzin,Rot,2022-07-02,42443811,yes,Hinterradantrieb
16942,8990,NA,NA,2021,MOTO GUZZI,V7 STONE,10,Schaltgetriebe,Benzin,Blau,2022-08-05,42443810,yes,Hinterradantrieb
16943,9990,NA,NA,2021,YAMAHA,MT 09A,10,Schaltgetriebe,Benzin,Schwarz,2022-03-03,42443807,yes,Hinterradantrieb
16944,3190,NA,NA,2022,YAMAHA,LTS125 C,10,Automatik,Benzin,Rot,2022-06-26,42443806,yes,Hinterradantrieb
16945,10990,NA,NA,2021,MOTO GUZZI,V7 STONE,350,Schaltgetriebe,Benzin,Schwarz,2022-05-18,42443804,yes,Hinterradantrieb
16946,13490,NA,NA,2021,MOTO GUZZI,V85 TT,850,Schaltgetriebe,Benzin,Weiss,2022-03-03,42443803,yes,Hinterradantrieb
16947,10990,NA,NA,2020,YAMAHA,TÉNÉRÉ 700,300,Schaltgetriebe,Benzin,Blau,2022-03-03,42443796,yes,Hinterradantrieb
16948,14490,NA,NA,2022,YAMAHA,NIKEN GT,900,Schaltgetriebe,Benzin,Grau,2022-03-03,42443795,yes,Hinterradantrieb
16949,32000,Neu ,800,2021,MV AGUSTA,Superveloce Oro,10,NA,Benzin,NA,2022-08-26,42436060,yes,NA
16951,19900,Neuwertig ,1000,2019,DUCATI,Panigale V4S,9700,NA,NA,NA,2022-08-26,42435898,no,NA
16952,7500,Geringe Gebrauchsspuren ,1000,2012,HONDA,CB1000,13400,Schaltgetriebe,Benzin,NA,2022-08-25,42435225,yes,NA
16953,4400,Geringe Gebrauchsspuren ,600,2012,YAMAHA,xj6,11000,NA,NA,Schwarz,2022-08-22,42433093,no,NA
16954,5000,Neuwertig ,900,1996,DUCATI,NA,17600,NA,NA,NA,2022-08-14,42432876,no,NA
16956,5980,Neu ,125,2022,FANTIC,XMF 125 Performance,4,Schaltgetriebe,Benzin,Weiss,2022-09-05,42432081,yes,Hinterradantrieb
16957,5590,Neu ,350,2022,NA,Zontes 310 X,6,Schaltgetriebe,Benzin,Schwarz,2022-09-05,42432006,yes,Hinterradantrieb
16958,4400,Neuwertig ,1200,2005,BMW,k1200r,38000,Schaltgetriebe,Benzin,Grau,2022-08-20,42431781,yes,Antriebswelle / Kardanwelle
16959,3400,Geringe Gebrauchsspuren ,600,NA,SUZUKI,GSR 600,17814,Schaltgetriebe,Benzin,Rot,2022-09-04,42429615,yes,NA
16960,7500,Neuwertig ,900,2014,YAMAHA,MT09,14000,NA,NA,Weiss,2022-08-20,42284701,yes,NA
16961,3690,NA,NA,2022,SYM,NH-X 125,5,Schaltgetriebe,Benzin,Grau,2022-03-02,42428866,yes,Hinterradantrieb
16962,7300,NA,NA,1999,KAWASAKI,W 650,35500,Schaltgetriebe,Benzin,Rot,2022-03-02,42428862,yes,Hinterradantrieb
16963,5990,NA,NA,2022,HYOSUNG,Aquila GV 300S Bobber,5,Schaltgetriebe,NA,Schwarz,2022-06-21,42428858,yes,Hinterradantrieb
16964,4990,NA,NA,2022,Mash,FIVE HUNDRED 400,5,NA,NA,Grün,2022-06-10,42428857,yes,NA
16965,8990,NA,NA,2022,CF MOTO,700 CL-X,5,Schaltgetriebe,Benzin,Grau,2022-08-24,42428852,yes,Hinterradantrieb
16966,7290,NA,NA,2022,CF MOTO,650 NK,5,Schaltgetriebe,Benzin,Weiss,2022-03-02,42428851,yes,Hinterradantrieb
16967,7990,NA,NA,2022,CF MOTO,650 GT,5,Schaltgetriebe,Benzin,Weiss,2022-03-02,42428846,yes,Hinterradantrieb
16968,7390,NA,NA,2022,CF MOTO,650 MT,5,Schaltgetriebe,Benzin,Weiss,2022-06-10,42428840,yes,Hinterradantrieb
16969,16050,NA,NA,2022,HONDA,CB 1000 R,1,Schaltgetriebe,Benzin,Schwarz,2022-04-13,42428831,yes,Hinterradantrieb
16970,9900,NA,NA,2016,HARLEY-DAVIDSON,XL 1200 T Super Low ABS,36650,Schaltgetriebe,Benzin,Schwarz,2022-03-05,42428825,no,Hinterradantrieb
16971,6190,NA,NA,2022,HUSQVARNA,Vitpilen 401,3,Schaltgetriebe,Benzin,Silber,2022-03-24,42428823,yes,Hinterradantrieb
16972,4900,NA,NA,1988,HONDA,GL Goldwing 1500,64200,NA,Benzin,Braun,2022-03-02,42428820,no,NA
16973,17990,NA,NA,2022,YAMAHA,FJR 1300 AS/ABS,5,Schaltgetriebe,Benzin,Blau,2022-09-03,42428815,yes,Hinterradantrieb
16974,7900,NA,NA,2009,DUCATI,Monster 1100 S,28900,Schaltgetriebe,Benzin,Rot,2022-05-25,42428789,yes,Hinterradantrieb
16975,7700,NA,NA,2020,MOTO GUZZI,V7 III Special 750 ABS,18800,Schaltgetriebe,Benzin,Grau,2022-03-02,42428774,yes,Hinterradantrieb
16976,6795,NA,NA,2022,APRILIA,RS 125,1,Schaltgetriebe,Benzin,Schwarz,2022-03-02,42428758,yes,Hinterradantrieb
16977,8800,NA,NA,2011,HARLEY-DAVIDSON,XL 883 N Sportster Iron,29000,Schaltgetriebe,Benzin,Schwarz,2022-07-13,42428752,no,Hinterradantrieb
16978,7790,NA,NA,2022,CF MOTO,650 NK,1,Schaltgetriebe,Benzin,Blau,2022-03-02,42428747,yes,Hinterradantrieb
16979,2900,NA,NA,2005,HONDA,CB 600 F Hornet,41516,Schaltgetriebe,Benzin,Weiss,2022-05-12,42428746,yes,Hinterradantrieb
16980,7290,NA,NA,2022,CF MOTO,650 NK,1,Schaltgetriebe,Benzin,Blau,2022-03-02,42428745,yes,Hinterradantrieb
16981,12600,NA,NA,2022,KAWASAKI,Z 900,1,Schaltgetriebe,Benzin,Grün,2022-07-02,42428744,yes,Hinterradantrieb
16982,9490,NA,NA,2014,HONDA,CTX 1300,17700,Schaltgetriebe,Benzin,Rot,2022-03-02,42428741,no,Hinterradantrieb
16983,13200,NA,NA,2021,KAWASAKI,Z 900,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-03-02,42428739,yes,Hinterradantrieb
16984,15790,NA,NA,2022,KAWASAKI,Ninja 1000 SX,1,Schaltgetriebe,Benzin,Grün,2022-03-02,42428736,yes,Hinterradantrieb
16985,30900,NA,NA,2022,CAN-AM,Maverick Sport 1000R,5,Automatik,Benzin,Schwarz,2022-07-08,42428722,yes,NA
16986,5990,NA,NA,2022,HUSQVARNA,Svartpilen 125,5,Schaltgetriebe,Benzin,Schwarz,2022-03-02,42428706,yes,Hinterradantrieb
16987,7090,NA,NA,2022,HUSQVARNA,Svartpilen 401,5,Schaltgetriebe,Benzin,Schwarz,2022-03-02,42428705,yes,Hinterradantrieb
16988,7090,NA,NA,2022,HUSQVARNA,Vitpilen 401,5,Schaltgetriebe,Benzin,Weiss,2022-03-02,42428704,yes,Hinterradantrieb
16989,7990,NA,NA,2022,BENELLI,Leoncino 500,1,Schaltgetriebe,Benzin,Schwarz,2022-03-09,42428699,yes,Hinterradantrieb
16990,6500,Geringe Gebrauchsspuren ,1200,2011,BMW,R 1200 R,31000,Schaltgetriebe,Benzin,Anthrazit,2022-08-10,42420179,no,Antriebswelle / Kardanwelle
16991,5290,Neu ,125,2022,MALAGUTI,Drakon 125 ABS,4,Schaltgetriebe,Benzin,Weiss,2022-09-05,42417107,yes,Hinterradantrieb
16992,4690,Neu ,125,2022,MALAGUTI,Dune 125,5,Schaltgetriebe,Benzin,Schwarz,2022-09-05,42416039,yes,Kette
